year,month,avg_delivery_days,on_time_delivery_percent
2016.0,9.0,54.81,0.0
2016.0,10.0,19.6,98.87
2016.0,12.0,4.69,100.0
2017.0,1.0,12.65,96.93
2017.0,2.0,13.17,96.79
2017.0,3.0,12.95,94.42
2017.0,4.0,14.92,92.14
2017.0,5.0,11.32,96.36
2017.0,6.0,12.01,96.14
2017.0,7.0,11.59,96.57
2017.0,8.0,11.15,96.68
2017.0,9.0,11.85,94.8
2017.0,10.0,11.86,94.71
2017.0,11.0,15.16,85.68
2017.0,12.0,15.39,91.62
2018.0,1.0,14.08,93.44
2018.0,2.0,16.95,84.01
2018.0,3.0,16.3,78.64
2018.0,4.0,11.5,94.69
2018.0,5.0,11.42,91.76
2018.0,6.0,9.24,98.59
2018.0,7.0,8.96,95.47
2018.0,8.0,7.73,89.61
